"title","date_time_begin","date_time_end","url","location_name","location_lat","location_lng","tags"
"DevDusk München","2009-08-19T19:00:00","","http://devdusk.mixxt.de/networks/wiki/index.session_munich","Galerie Royal","48.1522076","11.5680768",""
"Munich OpenSolaris Usergroup Treffen","2009-08-27T19:00:00","","http://www.mucosug.org/","Hochschule München","","",""
"dorkbot","2009-09-03T19:00:00","","http://www.facebook.com/event.php?eid=101543928043","Giselastrasse 10","48.1549987","11.5857826",""
"µc³ Öffentliches Treffen","2009-09-08T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"GTUG München, Android Special","2009-09-10T19:30:00","","http://gtug-muc.org","Google Germany GmbH","48.138594","11.57731",""
"Ubuntu Anwendertreffen","2009-09-11T19:00:00","","http://forum.ubuntuusers.de/topic/anwendertreffen-in-muenchen-jeden-2.-sa.-im-m/23/","Froschkönig","48.1509485","11.5424327",""
"Java User Group","2009-09-14T19:00:00","","http://www.jugm.de/","Firma mgm technology partners","48.1881217","11.5856197",""
"Admin-Stammtisch mit Vortrag bei NetApp","2009-09-14T19:00:00","","http://www.guug.de/lokal/muenchen","NetApp München","48.1002507","11.763712",""
".net Developers Group","2009-09-15T18:00:00","","http://www.munichdot.net/Events/576.aspx","Firma TESIS","48.09886","11.53357",""
"OpenStreetMap-Treff","2009-09-15T19:00:00","","http://wiki.openstreetmap.org/index.php/M%C3%BCnchen","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"60 Jahre BRD","2009-09-15T20:00:00","","http://www.literaturhaus-muenchen.de/programm/veranstaltung.asp?ID=7102","Literaturhaus München","48.1418132","11.5750198",""
"Munich OpenSolaris Usergroup Treffen","2009-09-16T19:00:00","","http://www.mucosug.org/","Sun Microsystems GmbH","48.15772","11.75938",""
"Open Web Application Security Project","2009-09-16T19:00:00","","http://www.owasp.org/index.php/OWASP_German_Chapter_Stammtisch_Initiative#tab=M.C3.BCnchen","Restaurant/Biergarten Löwe und Raute","48.1495787","11.5488442",""
"AK Requirements Engineering","2009-09-21T18:00:00","","http://www.example.com","Firma TNG Technology Consulting GmbH","48.1861991","11.6547822",""
"Podcasting und Web 2.0 - was ist das und was bringt es mir?","2009-09-23T19:00:00","","http://www.webgrrls.de/aktuell/treffen.htm","Seidlvilla","48.15867","11.58773",""
"Eigene PHP Erweiterungen entwickeln","2009-09-24T18:00:00","","http://www.mayflower.de","Mayflower","48.1353024510486","11.5853190422058",""
"Symfony Usergroup München","2009-09-24T19:00:00","","http://www.example.com","e/t/s didactic media","48.1469578","11.4590195",""
"Coworking Festival","2009-09-25T10:00:00","","http://niederlassung.org/","Niederlassung","48.1326463388206","11.5771876145444",""
